INSCRI2	INSCRI	ANO	PRESF1	B1	B2	Q1	Q2	G1	G2	F1	F2	H1	H2	M1	M2	Q13	RED	FASE1	REDCORR	ENEM2
20001111511	1111511	2000	1	1	3	1		1	2			1			0	9	16	47.4	-1	100,95
20001111528	1111528	2000	1	3	4	3	1	3	1	0	2	1	2	1	4	25	10	49	-1	81,9
20001111535	1111535	2000	1	2	0	1	1	3	2	1		1	1	0	5	17	14	50.6	-1	0
20001111542	1111542	2000	1	0	0	1	0	1	1	0	0	1	1	0	5	10	12	38.8	-1	0
20001111559	1111559	2000	1	1	1	1	0	1	2	0	1	1	1	0	2	11	10.5	36.2	-1	0
20001111566	1111566	2000	1	2	0	0	0	0	2			2	1	0	5	12	14	45.6	-1	62,86
20001111573	1111573	2000	1		0	0	0	1	4			0		0	2	7	10	31	-1	0
20001111580	1111580	2000	0														0	0	-1	66,67
20001111597	1111597	2000	1		1	3	0		2	2	4	1	0	5	5	23	0	0	-1	0
20001111603	1111603	2000	1	1	1	0	0	2	3			3	2	0	4	16	13.5	48.4	-1	0
20001111610	1111610	2000	1	0	0	1	0	0	4	1	0	0	1	5	3	15	12	43.8	-1	0
20001111627	1111627	2000	1	1	1	1	0	1	2	0	0	2	0	0	0	8	0	0	-1	0
20001111634	1111634	2000	1						3						1	4	12	32.8	-1	0
20001111641	1111641	2000	1	0	0			3	3			5		3	1	15	12.5	45	-1	74,29
20001111658	1111658	2000	1	2	0	0	1	2	0	0	2	3	0	0	2	12	11	38.4	-1	49,52
20001111665	1111665	2000	1	1	2	0	1	1	3	1	2	1		0		12	8.5	32.4	-1	0
20001111672	1111672	2000	1	0	1			1						0	3	5	12.5	35	-1	0
20001111689	1111689	2000	1	2	2	1	1	3	1	1	2	1	3	0	5	22	12.5	52	-1	83,81
20001111696	1111696	2000	1	0	0	0		1	2	0		0	1	0	5	9	7.5	27	-1	53,33
20001111702	1111702	2000	1	1	0	1		1				2			3	8	12.5	38	-1	70,48
20001111719	1111719	2000	1	1	1	1	1	1	2	1	0	0	0	0	1	9	10	33	-1	0
20001111726	1111726	2000	1	2	1	0	0	1	1	0	0	1	0	0	3	9	11.5	36.6	-1	53,33
20001111733	1111733	2000	1	0	2	1	1	1	2	0	0	1	0	0	2	10	13	41.2	-1	0
20001111740	1111740	2000	1	4	1	3	1	4	4	1	2	3	3	3	3	32	13.5	64.4	-1	93,33
20001111757	1111757	2000	1	2	3	3	1	2	3	0	3	0	2	3	5	27	12.5	57	-1	85,71
20001111764	1111764	2000	1	2	4	2	0	5	5	5	3	3	4	1	5	39	15.5	76.2	-1	0
20001111771	1111771	2000	1		1	1		1	3			0	0	0	1	7	11.5	34.6	-1	0
20001111788	1111788	2000	1	2	0	3	1	4	3	1	3	5	0	5	5	32	14.5	66.8	-1	97,14
20001111795	1111795	2000	1	4	1	3	5	3	4	5	5	4	1	5	5	45	15.5	82.2	-1	118,1
20001111801	1111801	2000	1	2	0	1	0	1	2	0		2	0	5	5	18	11.5	45.6	-1	0
20001111818	1111818	2000	1	0	1	0	0	2	4			2	0	0	0	9	11	35.4	-1	0
20001111825	1111825	2000	1	0	0	1	0	2	2	0					5	10	15	46	-1	0
20001111832	1111832	2000	1	0		0		5	3			4	2	0	2	16	13.5	48.4	-1	81,9
20001111849	1111849	2000	1	3	4	4	2	0	3	0	0	3	4	3	5	31	16.5	70.6	-1	114,29
20001111856	1111856	2000	1	2	4	3	1	4	4	4	1	3	0	3	4	33	13	64.2	-1	91,43
20001111863	1111863	2000	1	1	1	1	0	2	4	0	2	3	3	0	5	22	12.5	52	-1	64,76
20001111870	1111870	2000	1	2	3	0	0	1	1			3				10	14	43.6	-1	66,67
20001111887	1111887	2000	1	1	1	0	1	1	0	2	2	0	0	0	0	8	14	41.6	-1	100,95
20001111894	1111894	2000	1	2	1	1		1	3	1	1	3	1	1	3	18	15.5	55.2	-1	72,38
20001111900	1111900	2000	1	1	2	1	0	1	2	0		0	0		1	8	12.5	38	-1	62,86
20001111917	1111917	2000	1	5	2	2	1	1	3	4	4	1		5	2	30	12	58.8	-1	100,95
20001111924	1111924	2000	1	2	0	0		2						0	3	7	11	33.4	-1	0
20001111931	1111931	2000	1	0	1	1	0	2	3		0	1	0	1	2	11	9	32.6	-1	0
20001111948	1111948	2000	1	1	2	0	1	1	1			0	1	0	5	12	12	40.8	-1	70,48
20001111955	1111955	2000	1	0	1	0	0	2	2	0		4				9	10	33	-1	40
20001111962	1111962	2000	1	2	1	1	0	3	1		1	0	0	0	5	14	14	47.6	-1	0
20001111979	1111979	2000	1	3	2	3	1	3	3	2	1	4	2	3	5	32	14	65.6	-1	0
20001111986	1111986	2000	1	0	1	0	0	1	1	1		0	0	0	0	4	10.5	29.2	-1	0
20001111993	1111993	2000	1	1	1	0		2	3			2	0		0	9	11	35.4	-1	0
20001112002	1112002	2000	1	3	3	0	0	2	1			0	2	0	1	12	12	40.8	-1	0
20001112019	1112019	2000	1	2	0	1	1	1	1	0	0	1		0	2	9	14	42.6	-1	60,95
20001112026	1112026	2000	1									0	0	0	0	0	9.5	0	-1	0
20001112033	1112033	2000	1	0	0	1	0	3	2	0		3		0	5	14	13.5	46.4	-1	80
20001112040	1112040	2000	1					0	1	0		1		0	2	4	12	32.8	-1	78,1
20001112057	1112057	2000	1					2							2	4	12.5	34	-1	0
20001112064	1112064	2000	1	0	1	1	0	2	3	0		2	1		2	12	12.5	42	-1	0
20001112071	1112071	2000	1	0	0			2	2			0			0	4	11.5	31.6	-1	0
20001112088	1112088	2000	1	0	1	0	0		1						0	2	11	28.4	-1	0
20001112095	1112095	2000	1	1	1	1	0	2	1	2	0	2	0	5	3	18	13	49.2	-1	87,62
20001112101	1112101	2000	1	0	0	1	0	2	3	1	0	3	3	1	3	17	14	50.6	-1	68,57
20001112118	1112118	2000	1	4	0	1	0	0	4	0	0	3	0	0	3	15	13	46.2	-1	0
20001112125	1112125	2000	1	2	1	3	1	3	2	4	5	1	1	5	5	33	12.5	63	-1	108,57
20001112132	1112132	2000	1	0	2				2			3	0	0		7	12	35.8	-1	70,48
20001112149	1112149	2000	1	1		0	0	0	1	0		0		0	5	7	10.5	32.2	-1	53,33
20001112156	1112156	2000	1	2	1	0	0	0	1	0	0	0	0	0	0	4	12.5	34	-1	43,81
20001112163	1112163	2000	1	2	0					0		0		0	5	7	13	38.2	-1	97,14
20001112170	1112170	2000	1	0	1	1	0	2	1	0	0	0	2	0	0	7	11	33.4	-1	0
20001112187	1112187	2000	1	0	1		0	2	2			2	1	5	2	15	13.5	47.4	-1	64,76
20001112194	1112194	2000	1	0	1			1	1			3	1	0	4	11	12	39.8	-1	49,52
20001112200	1112200	2000	1	3	2	3	1	3	5			1	1	5	2	26	13	57.2	-1	100,95
20001112217	1112217	2000	1	1	1	0	0	0	1		0	1	0	0	0	4	0	0	-1	0
20001112224	1112224	2000	1	2	3	1	0	2	1	1		0		1	2	13	12	41.8	-1	0
20001112231	1112231	2000	1	3	1	1		2	1	4	4	1	0	0	5	22	14.5	56.8	-1	0
20001112248	1112248	2000	1	1	1	0		1	3			5	1	2	4	18	12.5	48	-1	0
20001112255	1112255	2000	1	4	2	1	0	3	3	0	0	3	4	0	2	22	11	48.4	-1	78,1
20001112262	1112262	2000	1	3	2	2	1	3	1	0	2	0	0	0	5	19	12.5	49	-1	99,05
20001112279	1112279	2000	1	4	0	2	0		3	1	0	1	1	3	2	17	11.5	44.6	-1	0
20001112286	1112286	2000	1	0	0		0	1	1	0	0	1	0	0	0	3	12	31.8	-1	64,76
20001112293	1112293	2000	1	0	2	0	0	1	1	1	0	0	0	0	1	6	8	25.2	-1	0
20001112309	1112309	2000	1	3	0			1	3	0		2	1	0	1	11	12.5	41	-1	0
20001112316	1112316	2000	1	2	0	1	0	1	4	1		3		0	2	14	11	40.4	-1	0
20001112323	1112323	2000	0														0	0	-1	0
20001112330	1112330	2000	1	4	1	3	1	1	1	3	2	3	1	5	5	30	10	54	-1	0
20001112347	1112347	2000	1	1	0	1		2	4			1		5	5	19	11.5	46.6	-1	91,43
20001112354	1112354	2000	1	3	4	4	1	4	2	1	4	3	1	4	4	35	13.5	67.4	-1	95,24
20001112361	1112361	2000	1	3	2	1		2	0	1		3	1	0	5	18	12.5	48	-1	102,86
20001112378	1112378	2000	1	2	0			2	0	1	2	0			2	9	13.5	41.4	-1	0
20001112385	1112385	2000	1	1	1	0	0	0	0	0	0	1	0	0	2	5	15	41	-1	0
20001112392	1112392	2000	1	0	1	0	0	1	2	1	1	1	0	0	3	10	8	29.2	-1	0
20001112408	1112408	2000	1	1	0	1	1	1	2	1	1	0	0	5	5	18	11	44.4	-1	0
20001112415	1112415	2000	1	2	2	0		2	2	1	0	3	0	2	2	16	12	44.8	-1	68,57
20001112422	1112422	2000	0														0	0	-1	0
20001112439	1112439	2000	1	3	1	2	1	3	3	1	1			0	2	17	15	53	-1	80
20001112446	1112446	2000	0														0	0	-1	0
20001112453	1112453	2000	1	1	0	0		1	1			0	0	0	0	3	8	22.2	-1	0
20001112460	1112460	2000	1	1	0	4	1	3	5	1	2	3		5	3	28	13.5	60.4	-1	0
20001112477	1112477	2000	1	0	0	0	0	1	2	1	0	1	1	0	3	9	10	33	-1	62,86
20001112484	1112484	2000	1	1	3	3	1	1	2	2	1	1		0	5	20	16	58.4	-1	108,57
20001112491	1112491	2000	1	2	1	1		2	4	0		3	0	1	5	19	16	57.4	-1	85,71
20001112507	1112507	2000	1		0	0	0		0			0		0	3	3	12	31.8	-1	0
20001112514	1112514	2000	1	0	0	2	1	3	1	2	0	3	0	0	3	15	11	41.4	-1	78,1
20001112521	1112521	2000	1	3		1	1		3			1			0	9	12	37.8	-1	53,33
20001112538	1112538	2000	1	2	3	4	1	2	1	0	0	3	0	0	2	18	14.5	52.8	-1	62,86
20001112545	1112545	2000	1	3	1	0		2	0			1		0	3	10	12.5	40	-1	0
20001112552	1112552	2000	1	0	0	0	0	1	1	1	1	0	0	0		4	11.5	31.6	-1	49,52
20001112569	1112569	2000	1	3	3	1	0	2	5	0	0	4	0	1	1	20	14	53.6	-1	0
20001112576	1112576	2000	1	0	0	0	0	0	0	0		0	0			0	10	0	-1	0
20001112583	1112583	2000	1	0	0	0	0	2	2	0		0		0	2	6	6	20.4	-1	34,29
20001112590	1112590	2000	1	3	0	0	3	2	3	1	2	3	2	2	5	26	13.5	58.4	-1	89,52
20001112606	1112606	2000	1	0	1										2	3	9.5	25.8	-1	0
20001112613	1112613	2000	1	3	1	1	0	0	3			2		0	3	13	11.5	40.6	-1	0
20001112620	1112620	2000	1	1	1	1	1	1	0	1	1	4	0	0	2	13	10	37	-1	0
20001112637	1112637	2000	1	0	2	0	1	3	1	2	1	0	0		3	13	10.5	38.2	-1	47,62
20001112644	1112644	2000	1	2	2	1	0	0	3	0	1	1	2	3	1	16	8.5	36.4	-1	89,52
20001112651	1112651	2000	1	0	0			0	3			0	0	0	0	3	10.5	28.2	-1	57,14
20001112668	1112668	2000	1	1	0	2	0	1	2	1	2	1	0	0	2	12	11.5	39.6	-1	78,1
20001112675	1112675	2000	1	0	1	0	0	0	0	0		0	0	0	1	2	6.5	17.6	-1	0
20001112682	1112682	2000	1	2	0	1	0	2	3	0	2	2	1	0	5	18	11	44.4	-1	47,62
20001112699	1112699	2000	1	1	1	0	0	3	3	0	0	2	0	0	2	12	12.5	42	-1	0
20001112705	1112705	2000	1	3	3	1	1	4	1	1	3	3	0	5	5	30	11.5	57.6	-1	97,14
20001112712	1112712	2000	1	2		3	1	1	1	2	4	3		1	5	23	12.5	53	-1	0
20001112729	1112729	2000	1	0	1	1	1	4	1		1	0		0	3	12	13	43.2	-1	0
20001112736	1112736	2000	1	2	1	2	3	4	2		1	3	1	1	5	25	12	53.8	-1	0
20001112743	1112743	2000	1	2	4	3	2	4	3	3	2	3	0	5	2	33	14.5	67.8	-1	102,86
20001112750	1112750	2000	1	0	1	1	0	5	2	0	0	2	0	0	2	13	10	37	-1	85,71
20001112767	1112767	2000	1	4	0	2	0	3	3	2		3		5	1	23	13	54.2	-1	74,29
20001112774	1112774	2000	1	3	2	1	1	3	1	4	3			5	2	25	18	68.2	-1	89,52
20001112781	1112781	2000	1	2	2	1	0	2	3	0	0	1	0	0	2	13	9.5	35.8	-1	0
20001112798	1112798	2000	1	0	0	0		1		0	0	0	0	0		1	6	15.4	-1	0
20001112804	1112804	2000	1	3	3	3	3	3	2	1	2	1	0	5	5	31	12.5	61	-1	99,05
20001112811	1112811	2000	1	1	0				1			1			3	6	10	30	-1	66,67
20001112828	1112828	2000	1	1	0	1	0		0		3	2	0	1	3	11	12.5	41	-1	0
20001112835	1112835	2000	1		1	1	1	2	2	0	2	1		5	3	18	14	51.6	-1	83,81
20001112842	1112842	2000	1	4	2	4	0	1	3	1	1	4	1	5	2	28	12.5	58	-1	0
20001112859	1112859	2000	1	1	0	1			2			0		0	2	6	8	25.2	-1	0
20001112866	1112866	2000	0														0	0	-1	59,05
20001112873	1112873	2000	1	0	1			2	1			0	0		1	5	9	26.6	-1	32,38
20001112880	1112880	2000	1	5	2	3	0	1	2			1	0	0	3	17	14	50.6	-1	0
20001112897	1112897	2000	1	3	3	3		3				0		5	2	19	14	52.6	-1	0
20001112903	1112903	2000	1	2		1		2	3							8	15.5	45.2	-1	0
20001112910	1112910	2000	1	0	1	0		0	1	0		1			3	6	12	34.8	-1	66,67
20001112927	1112927	2000	1	3	2	2	1	1	3	0	1	1	0	0	5	19	9	40.6	-1	85,71
20001112934	1112934	2000	0														0	0	-1	76,19
20001112941	1112941	2000	1	3	0	1	0	1	2	0	2	0	0	2	5	16	14	49.6	-1	0
20001112958	1112958	2000	1	1	0	0	1	1	2	1	0	0	0	0	0	6	13.5	38.4	-1	38,1
20001112965	1112965	2000	1	2	0	2	0		1	1		0		4	5	15	14	48.6	-1	80
20001112972	1112972	2000	1	0	1	1	0	1	3	1	0	0	0	0	1	8	12.5	38	-1	57,14
20001112989	1112989	2000	1	5	2	3	3	5	3	1	0	5	3	5	5	40	14.5	74.8	-1	106,67
20001112996	1112996	2000	1	0	1	0	0	1	1	0	0	0	0	0	0	3	0	0	-1	0
20001113005	1113005	2000	1		0	1		1	3			3	0	0	5	13	13	44.2	-1	0
20001113012	1113012	2000	1	0	1	1	1	4	3	0	1	4	1	0	0	16	15	52	-1	60,95
20001113029	1113029	2000	1	2	1	1	0	3	3	0	0	5	1	3	5	24	12.5	54	-1	0
20001113036	1113036	2000	1	3	0	1	1	2	0			1			2	10	13.5	42.4	-1	59,05
20001113043	1113043	2000	1	0	0	1		2	3			1		0	1	8	13.5	40.4	-1	0
20001113050	1113050	2000	1	2	1	3	1	2	2	1	1	4	4	1	3	25	16	63.4	-1	99,05
20001113067	1113067	2000	1	2	2	2	1	2	3	1	2	3	2	5	1	26	12.5	56	-1	91,43
20001113074	1113074	2000	1	1	2	3	1	2	2	1	1	4	0	0	4	21	12	49.8	-1	64,76
20001113081	1113081	2000	1	3	1	1		1	0	5	4	1	0	5	5	26	13.5	58.4	-1	0
20001113098	1113098	2000	1	0	0	1	0	1	2	1	2	1	0	0	5	13	11	39.4	-1	60,95
20001113104	1113104	2000	1	2		1	0	2	1	0		0	1	0	3	10	9.5	32.8	-1	64,76
20001113111	1113111	2000	1	0	0	0	0	0	0	0	2	0	1	0	2	5	8	24.2	-1	59,05
20001113128	1113128	2000	1	2	1	0	1	1	1	1	4	4	0	5	5	25	10	49	-1	89,52
20001113135	1113135	2000	1				0	1	1	2	2	3	0		2	11	10.5	36.2	-1	0
20001113142	1113142	2000	1	0	2	1	0	2		0		3	2	3	3	16	10	40	-1	89,52
20001113159	1113159	2000	1	1	2	3	1	5	1	2	1	4	0	5	5	30	16	68.4	-1	80
20001113166	1113166	2000	1	3	2	2	1	2				3	1	0	5	19	12	47.8	-1	0
20001113173	1113173	2000	1	2	2	3	0	2	2	2	3	3	0	1	4	24	12.5	54	-1	0
20001113180	1113180	2000	1	1	1	4	0	1	3	1	3	1	0	1	5	21	13	52.2	-1	91,43
20001113197	1113197	2000	1	1	4	1	1	4	4	1	0	0	0	5	5	26	15.5	63.2	-1	99,05
20001113203	1113203	2000	1	2	2	1	0	1	4			2	3	0	2	17	15.5	54.2	-1	85,71
20001113210	1113210	2000	1	2	3	1	0	0	3	4	1	2		1	2	19	15	55	-1	0
20001113227	1113227	2000	1	0	0	1	0	1				4			3	9	12.5	39	-1	47,62
20001113234	1113234	2000	1	0	0	1	2	1	2			0	0	0	2	8	13.5	40.4	-1	70,48
20001113241	1113241	2000	1	3	1	1		3	4			4	1	5		22	15	58	-1	0
20001113258	1113258	2000	1	0	0	0	0	1	4			2			2	9	11	35.4	-1	55,24
20001113265	1113265	2000	1	4	2	3	1	3	3	2	1	4	1	0	4	28	12.5	58	-1	0
20001113272	1113272	2000	1	3	2	1	1	1		1		3		0	5	17	11	43.4	-1	0
20001113289	1113289	2000	1	2	1	0		2	3	1		1	0		2	12	15	48	-1	0
20001113296	1113296	2000	1	1	1	1	0	3	2	1	0	3	0	0	2	14	11.5	41.6	-1	59,05
20001113302	1113302	2000	1	1	1	3	1	3	0	2	0	2	0	2	2	17	11	43.4	-1	57,14
20001113319	1113319	2000	1	1	1	0	0	2	3	0	0	0	0	0	2	9	11	35.4	-1	51,43
20001113326	1113326	2000	1	1	2	1	0	1	1	0	0	4	1	0	3	14	10	38	-1	80
20001113333	1113333	2000	1	0	1	0	0	0	1	0	0	0	0	0	2	4	7.5	22	-1	34,29
20001113340	1113340	2000	1	1	3	2	1	1	3	1	2	5	0	5	5	29	15.5	66.2	-1	99,05
20001113357	1113357	2000	1	2	2	0	0	1	2	0	0	1	0	0	1	9	10.5	34.2	-1	0
20001113364	1113364	2000	1	0	0			2	3							5	10.5	30.2	-1	51,43
20001113371	1113371	2000	1	2	2	2	1	3	2	1	3	3	0	2	3	24	16	62.4	-1	0
20001113388	1113388	2000	1	0	1	0	0	1		0	0		0	0	2	4	8	23.2	-1	38,1
20001113395	1113395	2000	1	0	0	0	0	1	3	0	0	0	0	0	0	4	9	25.6	-1	0
20001113401	1113401	2000	1		1	1	0	1	4	0		1		2	5	15	10.5	40.2	-1	0
20001113418	1113418	2000	1	0	1	0	0	1	1			1	0	0		4	14	37.6	-1	0
20001113425	1113425	2000	1						1	0				0	2	3	10	27	-1	0
20001113432	1113432	2000	1		0	0		1	1			0			2	4	11	30.4	-1	32,38
20001113449	1113449	2000	1	3	0	1	0	3	4	0	0	2	0	0	3	16	15	52	-1	0
20001113456	1113456	2000	1	1	1	1	0	2	3	0	0	1	0	0	3	12	13	43.2	-1	76,19
20001113463	1113463	2000	1	0	0	1				1		1		0	5	8	15	44	-1	76,19
20001113470	1113470	2000	1	3	2	0									3	8	0	0	-1	85,71
20001113487	1113487	2000	1	3	0	1	1	1	1	1	0	3	0	0	2	13	13.5	45.4	-1	0
20001113494	1113494	2000	1	0	0	1	3	1	2		0	4	3	3	3	20	13	51.2	-1	59,05
20001113500	1113500	2000	1	2	1	1	3	3	2	1	3	4	4	5	4	33	15	69	-1	0
20001113517	1113517	2000	1	2	1	5	3	1	2	2	3	1	1	5	5	31	11	57.4	-1	97,14
20001113524	1113524	2000	1														10.5		-1	60,95
20001113531	1113531	2000	1	2	2	1	0	1	3	1		1	0	0	5	16	13	47.2	-1	0
20001113548	1113548	2000	1	3	2	1	0	2	1	1	3	5	2	5	5	30	14	63.6	-1	0
20001113555	1113555	2000	1	3	1	0	1	3	0	0	0	3	0	0	5	16	12	44.8	-1	0
20001113562	1113562	2000	1	0	0	0	1	2	1	1	0	3	0	0	5	13	13	44.2	-1	72,38
20001113579	1113579	2000	1	0	2	1	0	2	2	0	0	3	0	0	2	12	9.5	34.8	-1	0
20001113586	1113586	2000	1	1	1	0	1	3	1	0	2	0	1	0	1	11	13.5	43.4	-1	78,1
20001113593	1113593	2000	1	2	2	1	0	2	2	0		2	2	0	0	13	10.5	38.2	-1	76,19
20001113609	1113609	2000	1	0	1	1		4	3			3	0			12	13.5	44.4	-1	0
20001113616	1113616	2000	0														0	0	-1	51,43
20001113623	1113623	2000	1	2	1	2	1	2	2		1	5	0	0	5	21	14	54.6	-1	87,62
20001113630	1113630	2000	1	0	0	0	0	1	2	1		4	0	0	4	12	11.5	39.6	-1	55,24
20001113647	1113647	2000	1	1	1	1		2	4	1	0	2	0	1	3	16	14	49.6	-1	0
20001113654	1113654	2000	1	0	0	1	0	0	2	0	0	0	2	0	5	10	14.5	44.8	-1	0
20001113661	1113661	2000	1						1			0		0	3	4	11.5	31.6	-1	0
20001113678	1113678	2000	0														0	0	-1	0
20001113685	1113685	2000	1	1	2	1	1	1	2	0		3		0	2	13	13	44.2	-1	68,57
20001113692	1113692	2000	0														0	0	-1	93,33
20001113708	1113708	2000	1	2	0	0	0	2	3			0	0			7	7.5	25	-1	0
20001113715	1113715	2000	1	3	1	3		4				0		0	3	14	15	50	-1	81,9
20001113722	1113722	2000	1	0	0	1	0	2	2	0		0	1		5	11	13.5	43.4	-1	66,67
20001113739	1113739	2000	1	2	0	0	0	1	1			0			1	5	12	33.8	-1	43,81
20001113746	1113746	2000	1	2	1	3	1	2	4	4	2	1	2	5	5	32	13	63.2	-1	87,62
20001113753	1113753	2000	1	0	0	0			1			0			1	2	9	23.6	-1	0
20001113760	1113760	2000	0														0	0	-1	0
20001113777	1113777	2000	1		1	0		1	2			0	1	0	5	10	9.5	32.8	-1	0
20001113784	1113784	2000	1	1		1		1	2			1	1		1	8	13	39.2	-1	0
20001113791	1113791	2000	1	0	0	0	0	1	0			0		0	1	2	8	21.2	-1	0
20001113807	1113807	2000	1	1	2	4	2	1	2	0	2	0		0	3	17	13.5	49.4	-1	0
20001113814	1113814	2000	1	0	1	1	1	4	3	4	3	4	1	3	3	28	12	56.8	-1	81,9
20001113821	1113821	2000	1			0							0	1	1	2	9	23.6	-1	0
20001113838	1113838	2000	1	2	1	2	1	1	3	3	0	2		0	2	17	11	43.4	-1	89,52
20001113845	1113845	2000	1	2	1	3	1	3	2	2	1	3		0	3	21	14	54.6	-1	99,05
20001113852	1113852	2000	1	3	3	3	1	3	1	1	1	4	0	5	5	30	13.5	62.4	-1	74,29
20001113869	1113869	2000	1	1	1	0	1	2	1	0	0	3	0	0	2	11	10.5	36.2	-1	64,76
20001113876	1113876	2000	1	3	1	2	1	5	4	2	1	3	2	3	4	31	17	71.8	-1	83,81
20001113883	1113883	2000	1	1	1	1	1	4	3	0		4	1	1	2	19	16	57.4	-1	0
20001113890	1113890	2000	1	3	0	4	0	2	0	3	2	1	1	5	3	24	14.5	58.8	-1	0
20001113906	1113906	2000	1	0	0	1	0	1	1	0	0	1	0	0	1	5	7.5	23	-1	0
20001113913	1113913	2000	1	0	0	1	0	0	2	0		0		0	4	7	9	28.6	-1	60,95
20001113920	1113920	2000	1	1	0	0	0	1	3			0	0	0		5	12.5	35	-1	0
20001113937	1113937	2000	1		1	0		0	0			1	0		2	4	11	30.4	-1	49,52
20001113944	1113944	2000	1	0	0	1		2	1		0	0	0		1	5	12	33.8	-1	53,33
20001113951	1113951	2000	1	3	2	4	1	3	3	2	2	4	1	5	2	32	13	63.2	-1	97,14
20001113968	1113968	2000	1	1	3				3			1		0	2	10	15	46	-1	0
20001113975	1113975	2000	1														9		-1	0
20001113982	1113982	2000	1	4	1	2	0	0	2			3		0	5	17	12	45.8	-1	0
20001113999	1113999	2000	1	0	2	1	0	2	4			3		0	2	14	15	50	-1	64,76
20001114008	1114008	2000	1	0	0	1	0	3	2	1		1	0	0	4	12	14.5	46.8	-1	76,19
20001114015	1114015	2000	1	3	3	3	3	5	4	2	4	5	2	5	5	44	14	77.6	-1	110,48
20001114022	1114022	2000	1	2		0	0	1	1					5	5	14	10	38	-1	0
20001114039	1114039	2000	1	0	0	0	0	1	0	0	0	0	0	0	1	2	7.5	20	-1	0
20001114046	1114046	2000	1	2	1	1		4	2			0			2	12	10	36	-1	0
20001114053	1114053	2000	1	1	3	1	0	3	1	0		3	1	0	3	16	13.5	48.4	-1	83,81
20001114060	1114060	2000	1	0	0							0		0	1	1	13.5	33.4	-1	43,81
20001114077	1114077	2000	1	2	2	0	0		0							4	10	28	-1	0
20001114084	1114084	2000	1	0	0	1	0	1	1	0	0	0	0	0	4	7	10	31	-1	0
20001114091	1114091	2000	1	1	2	1	2	1	3		3	1		0	4	18	12	46.8	-1	78,1
20001114107	1114107	2000	1	1	0	1	0	3	3	0		3	0	0	3	14	12.5	44	-1	74,29
20001114114	1114114	2000	1	4	3	2	1	3	4	1	3	5	1	5	5	37	12.5	67	-1	91,43
20001114121	1114121	2000	1	0	0	1		2				0	0	0	3	6	14.5	40.8	-1	59,05
20001114138	1114138	2000	1	2	0	1	0					0	0		1	4	13	35.2	-1	59,05
20001114145	1114145	2000	1	2	0	2	1	1	2		2	4		0	3	17	13.5	49.4	-1	83,81
20001114152	1114152	2000	1	2	0	1		3	2				0		4	12	16	50.4	-1	0
20001114169	1114169	2000	1	2	1	1		3	4	2		3	1	5	5	27	12.5	57	-1	0
20001114176	1114176	2000	1			1	0	0	2	0	2	0		0	5	10	13	41.2	-1	0
20001114183	1114183	2000	1	3	2	3	1	3	3	1	0	4	2	3	5	30	15	66	-1	97,14
20001114190	1114190	2000	1	1	0	0	0	1	1	0	0	0	0	0	2	5	12.5	35	-1	64,76
20001114206	1114206	2000	1	3	0	3	1	0	0	2	1	1	0	3	3	17	9	38.6	-1	91,43
20001114213	1114213	2000	1	1	0	0	0	1	1		1	1	0	0	1	6	7.5	24	-1	0
20001114220	1114220	2000	1	1	4	1	0	2	3			2		1		14	12.5	44	-1	72,38
20001114237	1114237	2000	1	2	1	0	0	2	3	0	0	0	0	0	0	8	13	39.2	-1	0
20001114244	1114244	2000	1	4	2	4	1	2	3	2	2	5	3	3	5	36	13	67.2	-1	104,76
20001114251	1114251	2000	1	3	1	3	3	3	3	4	4	2	0	5	3	34	13	65.2	-1	87,62
20001114268	1114268	2000	1	2	1	1	0	4	4	0	1	5	3	5	5	31	13.5	63.4	-1	0
20001114275	1114275	2000	1	1	0	4	0	2	1	1	1	0	0	3	2	15	13	46.2	-1	0
20001114282	1114282	2000	1	0	0	0	0	2	2			1	0		0	5	13.5	37.4	-1	76,19
20001114299	1114299	2000	1	2	2	1	0	3	3	1	1	3	0	3	5	24	14	57.6	-1	93,33
20001114305	1114305	2000	1	0	4	1	1	3	3			3	2	3	5	25	13	56.2	-1	64,76
20001114312	1114312	2000	1	1	2	0	0	1	1	0	0	1	1	0	2	9	13	40.2	-1	62,86
20001114329	1114329	2000	1		1							0			1	2	8.5	22.4	-1	0
20001114336	1114336	2000	1	0	1	0		0	3	0	1	1	2	0	5	13	14	46.6	-1	70,48
20001114343	1114343	2000	1	0	1	0	0	1	1	0	0	1	1	0	0	5	9	26.6	-1	62,86
20001114350	1114350	2000	1	0	0	1		1	2	0						4	10	28	-1	40
20001114367	1114367	2000	1	2	0	1		3	4	1		0	0	0	3	14	12.5	44	-1	0
20001114374	1114374	2000	1	1	2	1	0	1	1			0	0	0	5	11	10.5	36.2	-1	74,29
20001114381	1114381	2000	1	0	0	0	0		2			0	0		0	2	8	21.2	-1	0
20001114398	1114398	2000	1	2	1	0	1	1	3			0	0	0	2	10	11	36.4	-1	68,57
20001114404	1114404	2000	1	1	0	0	0	1	2			1	0		2	7	11.5	34.6	-1	68,57
20001114411	1114411	2000	1	2	0	0	1	2	1		1	2	0	0	3	12	11.5	39.6	-1	87,62
20001114428	1114428	2000	1	2		1		1	2			0	0	0	5	11	13.5	43.4	-1	70,48
20001114435	1114435	2000	1	0	2	1	1	1	1		1	4		0	3	14	15	50	-1	0
