INSCRI2	INSCRI	ANO	PRESF1	B1	B2	Q1	Q2	G1	G2	F1	F2	H1	H2	M1	M2	Q13	RED	FASE1	REDCORR	ENEM2
20001006327	1006327	2000	1	3	1	1	1	3	1			5		0	5	20	14	53.6	-1	0
20001006334	1006334	2000	0														0	0	-1	0
20001006341	1006341	2000	1	2	0	1	1	2	2	1		1	1	0	5	16	11.5	43.6	-1	0
20001006358	1006358	2000	1	1	2			0	1			1		0	0	5	11.5	32.6	-1	0
20001006365	1006365	2000	1	2	2	4	0	1	4	3	3	3	0	2	5	29	10	53	-1	76,19
20001006372	1006372	2000	1	1	2			2	3			2	3	0	2	15	12	43.8	-1	74,29
20001006389	1006389	2000	1	4	2	4	1	2	3	1	0	3	3	1	4	28	13.5	60.4	-1	89,52
20001006396	1006396	2000	1	3	1	3	1	1	1	1	2	3	0	5	5	26	12.5	56	-1	102,86
20001006402	1006402	2000	1	2	2	1	0	1	3	1	1	1	2	0	5	19	14	52.6	-1	85,71
20001006419	1006419	2000	1		1	1	1	1	2	0		0	0	0	0	6	14.5	40.8	-1	0
20001006426	1006426	2000	1	0	0	1	0	1	1	0	0	0	0	0		3	11	29.4	-1	41,9
20001006433	1006433	2000	1		2	0		2	2			0	1	0	2	9	9.5	31.8	-1	55,24
20001006440	1006440	2000	1	2	2	1		5	1		2	4		0		17	16	55.4	-1	83,81
20001006457	1006457	2000	1	1	1	0	1	1	2			2		2	3	13	12.5	43	-1	0
20001006464	1006464	2000	1	3	3	1	0	1	3	0		1	2	0	5	19	13.5	51.4	-1	66,67
20001006471	1006471	2000	1	1	2	1		1	2	0		0	1	0	2	10	12	38.8	-1	0
20001006488	1006488	2000	1	1	1	1	0	1	3	1	1	1	0	0	0	10	12	38.8	-1	81,9
20001006495	1006495	2000	1	2	2	3	2	3	4	3	4	3		5	4	35	13	66.2	-1	104,76
20001006501	1006501	2000	1	3	3	1	0	2	3	0		3	1	0	5	21	13.5	53.4	-1	97,14
20001006518	1006518	2000	1	0	1	0	0	1	3	0	1	0	2	0	1	9	10	33	-1	0
20001006525	1006525	2000	1	4	2	5	0	3	4	1	2	3	5	5	3	37	14	70.6	-1	93,33
20001006532	1006532	2000	1												3	3	12.5	33	-1	0
20001006549	1006549	2000	1	0	0	1		2	3			1		3	5	15	10.5	40.2	-1	74,29
20001006556	1006556	2000	1	2	1	0	0	1	3	2	1	1	0	0	5	16	12.5	46	-1	91,43
20001006563	1006563	2000	1	1	1	1	0	1	1	2	1	3	0	3	3	17	14	50.6	-1	91,43
20001006570	1006570	2000	1	1	0	1		1	4			1			5	13	13.5	45.4	-1	0
20001006587	1006587	2000	1	2	0	1	1	0	0	0	0	1	2	5	5	17	8	36.2	-1	0
20001006594	1006594	2000	1	0	1	1		2	1	0		1	0	0	3	9	8	28.2	-1	0
20001006600	1006600	2000	1	0	0	0	0	1	2	0	0	1	0	0	2	6	8	25.2	-1	59,05
20001006617	1006617	2000	1	1	0	1	0	3	1			1		0	5	12	12	40.8	-1	0
20001006624	1006624	2000	1	1	0	0	1	1	0	1		2	0	0	2	8	13.5	40.4	-1	0
20001006631	1006631	2000	1	3	1	3	1	5	3	5	4	3	2	0	5	35	14.5	69.8	-1	99,05
20001006648	1006648	2000	1	0	0	0	0	1	2			0			0	3	9.5	25.8	-1	40
20001006655	1006655	2000	1	2	1	3	1	4	4	1	3	4	0	2	5	30	13	61.2	-1	83,81
20001006662	1006662	2000	1	3	2	2	0	2	3	2	3	3	0	3	5	28	14.5	62.8	-1	0
20001006679	1006679	2000	1	2	2	0		1	3	1	2	1		5	5	22	11.5	49.6	-1	0
20001006686	1006686	2000	1	1	0	0	1	2	3			1	0	0	0	8	11	34.4	-1	36,19
20001006693	1006693	2000	1	0	2	0		0	1			0	0	1	4	8	13	39.2	-1	57,14
20001006709	1006709	2000	1	1	1	1	0	1	0		0	0	0	0	3	7	11	33.4	-1	64,76
20001006716	1006716	2000	1	2	0	1	0	1	3	2				5	5	19	15.5	56.2	-1	0
20001006723	1006723	2000	1	1	3	0	1	3	2	0	0	0	0	0	3	13	11.5	40.6	-1	0
20001006730	1006730	2000	1	1	0	0	1	3	1	0	1	3	0	1	5	16	14	49.6	-1	59,05
20001006747	1006747	2000	1	0	2	0	0	1	2			3	3	0	2	13	14.5	47.8	-1	76,19
20001006754	1006754	2000	1	0	1	1	0	0	3			5	2	0		12	14	45.6	-1	0
20001006761	1006761	2000	1	1	1	0	0	2	2			1	0	0	2	9	11	35.4	-1	0
20001006778	1006778	2000	1		0	1			1			1	0		1	4	12	32.8	-1	0
20001006785	1006785	2000	1	3	1	1	0	1	2			1	0	0	5	14	10	38	-1	78,1
20001006792	1006792	2000	1	2	0	1	1	0	0	2	1	3	2	5	3	20	14	53.6	-1	80
20001006808	1006808	2000	0														0	0	-1	0
20001006815	1006815	2000	1	0	0			1	2			1			2	6	10	30	-1	70,48
20001006822	1006822	2000	1	3	0	4	1	1	3	5	3		4	5	3	32	13.5	64.4	-1	116,19
20001006839	1006839	2000	1	0	2	0		4	4		2	3	1	1	1	18	13.5	50.4	-1	80
20001006846	1006846	2000	1	1	1	1	1	2	2		3	3	0	5	5	24	14.5	58.8	-1	0
20001006853	1006853	2000	1	2	0	1	0	4	5	0	0	0	1	0	3	16	13	47.2	-1	0
20001006860	1006860	2000	1	0	0	0	0	1	1		0	0	0	0	0	2	10	26	-1	0
20001006877	1006877	2000	1	0	0			1	2			0	0	0	2	5	8.5	25.4	-1	68,57
20001006884	1006884	2000	1	2	2	0	0	2	4	1	0	1	0	4	1	17	14	50.6	-1	72,38
20001006891	1006891	2000	1	2	1	1	0	3	1	1	2	1	0	5	3	20	0	0	-1	0
20001006907	1006907	2000	1	1	2	5	0	0	2	2	1	4	0	5	3	25	13.5	57.4	-1	91,43
20001006914	1006914	2000	1	4	2	3	1	4	2	2	3	1	1	2	3	28	12	56.8	-1	87,62
20001006921	1006921	2000	1	1	0	4	1	1	2	0	2	0	0	0	2	13	8.5	33.4	-1	51,43
20001006938	1006938	2000	1	3	0	1		1	2		1	0	0		5	13	13.5	45.4	-1	0
20001006945	1006945	2000	1	2	1	5	3	3	3	2		3	0	5	5	32	15	68	-1	95,24
20001006952	1006952	2000	1	4	2	5	1	2	4	4	2	3	0	3	5	35	11	61.4	-1	99,05
20001006969	1006969	2000	1	1	0	1	0	2	2	1	1	3	0	0	3	14	10.5	39.2	-1	53,33
20001006976	1006976	2000	1	0	0	0	1	3	1	2	1	4	0	5	5	22	14	55.6	-1	62,86
20001006983	1006983	2000	1	0	0	1	0	2	2			1	0	0	2	8	12	36.8	-1	68,57
20001006990	1006990	2000	1	1	1	0	0	1	1		0	0		0	0	4	9	25.6	-1	41,9
20001007009	1007009	2000	1	1	1	1		1	0	3	1	3	2	3	5	21	13	52.2	-1	95,24
20001007016	1007016	2000	1	0		2	1		2	0		0	0		3	8	13	39.2	-1	0
20001007023	1007023	2000	1	0	0	0	0	1	0	0	0	1		0	2	4	11.5	31.6	-1	0
20001007030	1007030	2000	1	0	2			0	2							4	0	0	-1	0
20001007047	1007047	2000	1	0	0	0	0	2	3	0	0	2	0	0	2	9	11.5	36.6	-1	43,81
20001007054	1007054	2000	1	1	0	2	1	3	2	1	1	3	0	3	5	22	9	43.6	-1	0
20001007061	1007061	2000	1	2	1	1	1	3	1						1	10	11.5	37.6	-1	0
20001007078	1007078	2000	1	2	3	4	1	5	3	3	5	4	1	5	5	41	13.5	73.4	-1	114,29
20001007085	1007085	2000	1	3	3	1		5				5	2		1	20	21	70.4	-1	0
20001007092	1007092	2000	1						3			1	0		2	6	0	0	-1	0
20001007108	1007108	2000	0														0	0	-1	40
20001007115	1007115	2000	1					1	2						2	5	0	0	-1	0
20001007122	1007122	2000	1	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	-1	0
20001007139	1007139	2000	1	1	0	0	0	1	2	0	0	1	0	0	0	5	9.5	27.8	-1	0
20001007146	1007146	2000	0														0	0	-1	0
20001007153	1007153	2000	1		0	0		1	2					0	1	4	10	28	-1	36,19
20001007160	1007160	2000	1	0	0	0	0	2	0	0	0	0	0	2	1	5	10.5	30.2	-1	0
20001007177	1007177	2000	1	0	0			1	0			0	2		3	6	9.5	28.8	-1	0
20001007184	1007184	2000	1	1	1	1	0	1	3	0	0	1	0	0	3	11	13	42.2	-1	0
20001007191	1007191	2000	1	2	0	1	0	2	3	1		4	1	0	2	16	9.5	38.8	-1	0
