INSCRI	PRE_PORT	PORT1	PORT2	PORT3	PORT4	PORT5	PORT6	PORT7	PORT8	PORT9	PORT10	PORT11	PORT12	PORT13	PRE_BIOL	BIOL1	BIOL2	BIOL3	BIOL4	BIOL5	BIOL6	BIOL7	BIOL8	BIOL9	BIOL10	BIOL11	BIOL12	BIOL13	PRE_QUIM	QUIM1	QUIM2	QUIM3	QUIM4	QUIM5	QUIM6	QUIM7	QUIM8	QUIM9	QUIM10	QUIM11	QUIM12	QUIM13	PRE_HIST	HIST1	HIST2	HIST3	HIST4	HIST5	HIST6	HIST7	HIST8	HIST9	HIST10	HIST11	HIST12	HIST13	PRE_FISI	FISI1	FISI2	FISI3	FISI4	FISI5	FISI6	FISI7	FISI8	FISI9	FISI10	FISI11	FISI12	FISI13	PRE_GEOG	GEOG1	GEOG2	GEOG3	GEOG4	GEOG5	GEOG6	GEOG7	GEOG8	GEOG9	GEOG10	GEOG11	GEOG12	GEOG13	PRE_MATE	MATE1	MATE2	MATE3	MATE4	MATE5	MATE6	MATE7	MATE8	MATE9	MATE10	MATE11	MATE12	MATE13	PRE_LEST	LEST1	LEST2	LEST3	LEST4	LEST5	LEST6	LEST7	LEST8	LEST9	LEST10	LEST11	LEST12	LEST13	PRE_APTD	APTD	AREA	CURSO	GRUPO
1196248	P	4	3	3.5	4	5	3.5	1	0	2		1	3	30	P	3.5	2	4	0	2	4	2	1	2	0	3	0	23.5	P	0	2	0	2	1	5	0	0	1	1		0	12	P	5	3	3.5	2.5	4	4	2	1	0.5	2	3	3.5	34	P	5	2	1	3	2	1		3	5	2	0.5		24.5	P	2.5	1	4	0	4	3	3	2	2	1	4	3	29.5	P	3	5	1	5	2	3	1	0	1	0	2		23	P	5	0	5	4	5	5	4.5	5	3	4	5	4	49.5	P	10	1	48	149
1195627	P	2.5	3	4	4	1	4	1.5	0	2	2	0	1	25	P	4	3	4	0	1.5	3	5	2	2	0	0	5	29.5	P	3	1.5	1	2	3.5	5	2	3	1	2	1	3	28	P	5	1	4	0.5	4.5	4	1	3	1.5	2	4.5	3	34	P	5	2	5	4	1	0	5	3	2	1.5	0	0	28.5	P	3	2	3	3	4	3	3	2	2.5	0	3	2	30.5	P	5	5	5	5	2	3	1	3	1	1	2	0	33	P	2.5	0	4.5	4	0	2	1	2	1	5	0	3	25	P	10	1	48	149
1196347	P	4	3		3	4	2.5	3	3	3		0	2	27.5	P	5	3	4	0.5	4	4	3.5	1	3	3	1	3	35	P	3	0.5	0	2	3	4	1	0	1	1	4	3	22.5	P	4	0	4	2.5	4	3	2	0		0	3	3	25.5	P	5	5	5	5	1.5	5	5	3	5	0	1.5	0	41	P	3.5	2.5	3.5	4.5	4.5	4	3.5	3	2	0	2.5	1	34.5	P	5	4	1	5	5	5	0	3	3	0	5	0	36	P	0	0	4	5	1	0	1	3	1.5	5	0		20.5	P	10	1	48	149
1194518	P	2	1	3	3	3.5	2	0	0	1		0	2	17.5	P	4	1	3	1	3	4	2	1	3	0	1	4	27	P	0	0	0	2	2	3	0	0	1	0	1	1	10	P	4	1	5	1.5	4.5	3	3	0.5	1	1	0.5	3	28	P	3.5	2	0	3	2	2	0.5	3	2	1.5	1	0	20.5	P	4	0	3.5	3.5	4	3	3	1.5	2	0	4.5	3	32	P	2	5	0	5	2	3	0	0	1	0	1	0	19	P	0.5	0	2.5	4	1.5	0	0	3	0	0	0	3	14.5	P	40	1	48	149
1192635	P	3	5	3	3	2	4	1	0	2.5	3	0	2	28.5	P	3	2	4	3	3.5	4	4	0	1.5	1	1	3	30	P	1	1	0	1	1	1	0	0	0	0	1	0	6	P	5	0.5	4	3.5	5	4	1.5	4	2	2	3.5	2.5	37.5	P	3	5	1	3	2	1	0	3	0	1	0.5	0	19.5	P	4	1.5	3	4	3	3.5	3.5	2	1	0	2	3	30.5	P	5	3	1	4.5	2	2	0		1	1	0		19.5	P	5	0	2	4	3	0	4	2	1	5	0	1	27	P	10	1	48	149
1220219	P	3	5	4	5	3	2.5	2	3	2	2	0	2	33.5	P	4.5	1	3	0	3	4	1	1.5	3	0	2	4	27	P	1	0	0	2	3	5	1	3	1	1	0	0	17	P	3	1	5	2	4.5	4	3	3	1	5	2	3.5	37	P	3	2	1	0	2	0	0	2	2	0	0	0	12	P	2.5	1	2.5	4	4	3	3.5	2.5	1	2.5	3	3	32.5	P	5	5	3	2	5	5	1	0	1	1	0	0	28	P	5	5	4	4.5	5	5	3.5	3.5	4	3	5	4	51.5	P	10	1	48	149
1211679	P	3	2.5	3	2	4	4	2		3	2		1.5	27	P	3	1.5	3		2	2	0		2	3	1	1	18.5	P		0	0	2	1	4	2	0	1	0	1	0	11	P	5	5	4	3.5	3	2.5	2	0		1	0	0	26	P	2.5	0.5			2		0	2	2			0	9	P	3	2	3	4	4	4	3	1.5	2	3		2	31.5	P	5			2	2		0		1	0			10	P	5	0	4	1.5	3					4.5		1	19	P	10	1	48	149
1216650	P	2.5	4	3	4	2.5	4	4	3	0.5	0	0	2.5	30	P	5	0.5	4	2	0	4	2	3	3	2	1	4	30.5	P	1	0	1	1	3	1	0	0	1	1	2	1	12	P	5	1	4	4	5	3	3.5	0		2.5	4.5	3	35.5	P	4	0.5	1	1	1	0	0	0	2	1	0.5	0	11	P	3	3	4	3	4.5	4	2.5	2.5	3	2.5		0	32	P	3	4.5	2.5	2	2	5	0	0	1	1	0	0	21	P	5	3	2	4	5	2	1	5	4	5	0	4.5	40.5	P	10	1	48	149
1221236	P	1	4	4	4.5	3	5	1	0	2	0	1	2.5	28	P	3.5	2.5	3	2	2	5	0	1	1	0	1	1	22	P	1	0	0	2	2	4	0	3	0	5	2	4	23	P	2	0	3	1	2.5	2.5	2.5	2.5	0	1	0	2	19	P	5	5	2	2	1	2	0	1	0	1	1.5	2	22.5	P	3	1.5	4	1	4	3.5	3.5	1.5	3.5	0	3	2	30.5	P	5	3.5	1	3	2	3	1	0	1	1	2.5	0	23	P	5	5	1	4	4.5	0	1	5	2.5	5	0	4	37	P	30	1	48	149
1211990	P	3	5	3	3	3	4	4	5	3	0	4.5	3.5	41	P	4	1.5	3	2	2	4	3	1	3	0	1	4	28.5	P	0	0	0	1	1	2	1	3	1	2	0.5	1	12.5	P	5	1	3	4	4	4	1	3	0	2	2	3	32	P	3		1	1.5	2	0		0		0		0	7.5	P	2.5	0	4	2	3.5	3	4.5	2.5	2	2	1	4	31	P	5	4	5	2	2	3	0	2	1	0		0	24	P	4.5	5	3	4	2	0.5	1.5	4.5	1.5	5	5	4.5	41	P	30	1	48	149
