INSCRI	PRE_PORT	PORT1	PORT2	PORT3	PORT4	PORT5	PORT6	PORT7	PORT8	PORT9	PORT10	PORT11	PORT12	PORT13	PRE_BIOL	BIOL1	BIOL2	BIOL3	BIOL4	BIOL5	BIOL6	BIOL7	BIOL8	BIOL9	BIOL10	BIOL11	BIOL12	BIOL13	PRE_QUIM	QUIM1	QUIM2	QUIM3	QUIM4	QUIM5	QUIM6	QUIM7	QUIM8	QUIM9	QUIM10	QUIM11	QUIM12	QUIM13	PRE_HIST	HIST1	HIST2	HIST3	HIST4	HIST5	HIST6	HIST7	HIST8	HIST9	HIST10	HIST11	HIST12	HIST13	PRE_FISI	FISI1	FISI2	FISI3	FISI4	FISI5	FISI6	FISI7	FISI8	FISI9	FISI10	FISI11	FISI12	FISI13	PRE_GEOG	GEOG1	GEOG2	GEOG3	GEOG4	GEOG5	GEOG6	GEOG7	GEOG8	GEOG9	GEOG10	GEOG11	GEOG12	GEOG13	PRE_MATE	MATE1	MATE2	MATE3	MATE4	MATE5	MATE6	MATE7	MATE8	MATE9	MATE10	MATE11	MATE12	MATE13	PRE_LEST	LEST1	LEST2	LEST3	LEST4	LEST5	LEST6	LEST7	LEST8	LEST9	LEST10	LEST11	LEST12	LEST13	PRE_APTD	APTD	AREA	CURSO	GRUPO
1203087	P	1	3.5	4	5	2	3.5	3	0	1	4	1	3	31	P	2.5	2	2	1	0	2	0	2	3	0	1	3.5	19	P	0	0	1	2	1	4	0.5	3	1	0	0	0	12.5	P	3	0.5	3.5	3	2.5	3.5	0	0	0	0.5	1.5	3.5	21.5	P	3	3	0	3	1	2	0	3	2	0	0	0	17	P	2.5	2	3	2	4	3	2.5	2	2.5	1	2	2	28.5	P	5	1	0	5	2	2	0	0	1	0	0	0	16	P	2	4.5	4.5	4.5	4	2	2	3	1	5	0	4	36.5	P	0	1	55	148
1199568	P	0.5	1.5	2	5	4	3	0			2	0	1.5	19.5	P	1	3	1		1	3	0	0		0	1	1	11	P	0	0	0.5	2	1	3		0	0	0		0	6.5	P	5	1	4.5	2	5	4.5	1	0		1.5	2	3	29.5	P	2.5	0	0			0		0		0	0.5	0	3	P	3	3	4	4	5	2	3.5	2	1	1	4	3	35.5	P	0		0	5	2				1	0			8	P	0		2.5	4	0	0		2		5			13.5	P	0	1	55	148
1212023	P	1	3	1	4	2	4	2	3	3.5	4	0	2	29.5	P	4	2	3		0	4.5	2	0	3	1	1	3	23.5	P	0	0	0	3	0	4	0	0	1	1	0	1	10	P	3	1	4.5	3.5	3.5	3.5	1	1.5	0	1	0	3	25.5	P	3	2	0	3	0	1	0	0.5	0	0			9.5	P	3.5	0	1	0	4	4.5	3	2.5	1	0.5	2	3	25	P	0	0	0	0	1	3	0		1	1	2		8	P	0	0	0.5	4	0	0	0	0	0	0	0		4.5	P	0	1	55	148
1222536	A													0	A													0	A													0	A													0	A													0	A													0	A													0	A													0	P	0	1	55	148
1219840	P	3	3		3	2	3						2.5	16.5	P	3	2	3		2	2.5					1		13.5	P				2		2		3			0	0	7	P	5	4	3.5	2	2	2.5	1	2	0	1	1	3	27	P	4.5	2				0							6.5	P	3	2	4	3.5	4	3.5	2.5	2.5	3	1.5	4	0	33.5	P	5	3	1	5				0	1	3			18	P	2	0	4	4		1.5	2			5		4	22.5	P	0	1	55	148
1223270	P	4	4	2	5	2	4	0	0	2.5	2	0	2.5	28	P	5	4	4	0.5	2	3.5	2	1	4	4	0	5	35	P	3	0	4	5	0	2	1	0	1	0	0	1.5	17.5	P	3	5	5	2	4	4	3	0.5	3	1	3	3	36.5	P	3	2	1	3	2	0	3	3	0	1	1.5	0	19.5	P	1.5	3.5	4	4	4.5	4.5	3.5	1	3	1	3	1	34.5	P	5	3.5	0	2	2	5	1	0	1	0	0	0	19.5	P	5	5	5	4	2.5	1.5	2	3	1.5	3.5	0	4	37	P	0	1	55	148
1212627	P	4.5	3	4	4.5	2	3	4	1.5	2	4	1.5	1.5	35.5	P	2.5	3	2		2.5	2	0	0	0		1	1	14	P	0	1	1	2	0	3		0	0		0		7	P	2	2	3	3.5	2	5	1	3	0	1	1.5	3.5	27.5	P	3	0	0	1	1	0	0	3	0	0			8	P	3	2	4	2	3	3	3.5	2	3	1	0	1	27.5	P	5	0.5	0	4	2		0	0	1		0	0	12.5	P	0	0	1.5	2	1	0	0	2	1	0	0	0	7.5	P	0	1	55	148
1212764	P	5	3		2.5	2	4					0	2	18.5	P	4.5	3.5	2		2.5	0.5			3	0	0		16	P	0	0.5	0	3	2	2	0	0	1	0	1	0	9.5	P	5	1	2.5	3.5	4	3	0	3	2	0.5	0.5	0	25	P	3	0	0			1					0		4	P	2.5		3	3.5	4	2	4	2	2	0	3	2	28	P		5		0	2	2	0		0	0	2		11	P	1	3		3.5	4	0	1.5	2.5	2	0	0	5	22.5	P	0	1	55	148
1213545	P	3	3	3	3	4	3.5			1			0	20.5	P	1	3	0		0				1			1	6	P	0	0			0	1			0	0	0		1	P	2		2	0	4	3	2			1		4	18	P	0	0											0	P	3	0	1	3.5	4	2.5	3	2	2	1	2	0	24	P		0		2					1	0			3	P	2	0		0	1		0	2				0	5	P	0	1	55	148
1242415	P	5	3	2	0	2	2	0		2		0	0	16	P	3	1	0	0	2	1.5	1	0	2		1	5	16.5	P		0	0	1	1	1	0	0	1		2	1	7	P	2	0.5	2.5	0	3	4.5	3	0	0	1	2.5	1	20	P			0.5	1	1	0		3	0	2			7.5	P	2.5	0	3	1.5	2	2	2	1	2	1	1	0.5	18.5	P	3	0		2	2	0	0	0		0			7	P	0	0	0			0	0	0	0	0		0	0	P	0	1	55	148
1273466	P	3.5	2	3	4	3	4				0	0	2	21.5	P	2	2	2		3	2.5	0		3		0	0.5	15	P		0			0	0		0	0		0		0	P	5	5	4	2	4.5	4	2		0.5	1.5	0	3	31.5	P		0	0	0	0			0				0	0	P	3	2.5	4	3.5	4.5	2	3	2.5	3	1	3	2	34	P	5	0		4									9	P	0	5	1.5	0	0	0	1	3	3	5	0	4	22.5	P	0	1	55	148
1260442	P	0	2.5	3	3.5	1	2					0	1	13	P	4	3	4		2	2			2.5		1	1	19.5	P		1.5		2	0	1	0	0	0		0		4.5	P	3	0	3	4	4	2.5	1	3		2	2.5	2	27	P	3	2											5	P	3		4	2	4	2	3	1	2	1	0	2.5	24.5	P	5	0		4	2				1				12	P	2	2.5	2	1	3	1	0	4.5	1	0	0	1.5	18.5	P	0	1	55	148
1239774	P	1	2	3	2.5	3	3.5	0	0	0	0	0	0.5	15.5	P	1	1	2.5	0	1	2	0	0	0	0	1	1	9.5	P	0	0	0	0	0	1	0	3	0	0	0	1	5	P	1	0	0.5	2	2.5	1	1	2	1	1	0	1	13	P	3	0	3	0.5	1	0	0	3	0	0	0.5	0	11	P	2	3	3	3	4	2	2.5	1	2	1	2	0	25.5	P	0	0	0	2.5	2	0	0	0	1		2	0	7.5	P	3	5	3.5	4	2	0	2	5	1.5	5	0	0	31	P	0	1	55	148
1288066	P	2	4.5	3	5	2	2	0		1	0	0.5	2.5	22.5	P	2.5	0	2	0	4	1			1		2.5		13	P		0		1		1		0			0		2	P	4	2	4	3	3.5	3	3	2.5	1	0	2		28	P	1	0	0	0			0	0				0	1	P	4	0	2	3	3	4	4	1	2	1	4	3	31	P		0		0					1	0		0	1	P	5	0	1	2	3.5	1	1			3		5	21.5	P	0	1	55	148
1282785	P	3.5	3	3	3	2	3	3.5	0	2	0	0	2	25	P	4	4	2	0	2	3.5	3	0	4	1	1	4	28.5	P	2	1	0	2	0	1	0	0	0	0	2	0	8	P		1.5	4	4	3.5	4	3.5	3	1	1	0.5	4	30	P	1	3	0	0	0.5	2	0	3	2	0	0	0	11.5	P	3	3.5	4	3.5	4	2.5	3	2.5	1	0	2	2.5	31.5	P	5	5	1	2	0	0.5	0		1		0	0	14.5	P	0	0	1.5	1	1	0	1	1	1.5	0	0	4	11	P	0	1	55	148
