INSCRI2	INSCRI	OPC1	PAAIS	ISENTOS	APROVF2	MATR	CURPAS	IDADE	SEXO	RACA	ENSFUND	ENSMED	TIPOMED	FEZCPV	TIPOCPV	OPCUNICAMP	MOTCARR	RENDA	RBRUTA	QTSVIVEM	CATPAI	CATMAE	INSTRPAI	INSTRMAE	TRABALHA	LEJORNAL
20001001247	1001247	48	-1	0	0	0	0	8	1	-1	2	2	1	2	-1	8	1	6	-1	1	3	8	9	4	5	3
20001001254	1001254	8	-1	0	0	0	0	3	1	-1	3	4	3	2	-1	2	1	7	-1	5	4	8	7	6	1	2
20001001261	1001261	42	-1	0	1	1	29	8	1	-1	2	1	3	1	-1	2	3	7	-1	2	6	8	2	3	5	4
20001001278	1001278	57	-1	0	0	0	0	6	2	-1	2	2	2	1	-1	3	6	4	-1	2	3	8	2	2	3	2
20001001285	1001285	48	-1	0	0	0	0	3	2	-1	2	2	3	2	-1	5	1	1	-1	4	0	8	0	2	1	2
20001001292	1001292	43	-1	0	0	0	0	3	1	-1	2	2	3	2	-1	2	3	4	-1	3	0	4	0	8	1	2
20001001308	1001308	9	-1	0	0	0	0	3	2	-1	2	2	3	2	-1	5	3	2	-1	3	3	8	3	2	1	3
20001001315	1001315	2	-1	0	1	0	0	1	1	-1	1	1	3	2	-1	1	6	7	-1	5	3	3	7	8	1	2
20001001322	1001322	12	-1	0	1	0	0	7	1	-1	4	2	3	1	-1	3	1	7	-1	5	2	8	9	6	1	4
20001001339	1001339	25	-1	0	1	0	0	7	2	-1	1	1	3	1	-1	1	6	8	-1	5	2	2	9	9	2	4
20001001346	1001346	14	-1	0	1	1	14	6	1	-1	1	1	3	1	-1	1	1	9	-1	5	3	8	9	9	1	4
20001001353	1001353	6	-1	0	1	0	0	4	2	-1	1	1	3	1	-1	1	6	4	-1	2	2	4	9	9	4	2
20001001360	1001360	36	-1	0	0	0	0	9	1	-1	2	2	1	1	-1	1	7	4	-1	4	6	8	2	2	5	4
20001001377	1001377	23	-1	0	0	0	0	4	2	-1	1	1	3	1	-1	1	1	6	-1	4	5	8	5	7	1	4
20001001384	1001384	36	-1	0	0	0	0	5	1	-1	2	2	3	2	-1	1	3	4	-1	2	1	1	7	5	1	2
20001001391	1001391	41	-1	0	0	0	0	3	1	-1	2	2	1	2	-1	5	1	4	-1	6	6	6	6	6	3	2
20001001407	1001407	12	-1	0	0	0	0	3	1	-1	2	2	3	2	-1	2	6	4	-1	3	6	6	3	3	1	2
20001001414	1001414	25	-1	0	0	0	0	4	1	-1	1	1	3	2	-1	1	1	4	-1	4	8	2	7	9	2	2
20001001421	1001421	29	-1	0	0	0	0	5	2	-1	2	2	3	2	-1	6	6	3	-1	3	6	8	2	2	1	3
20001001438	1001438	13	-1	0	0	0	0	7	2	-1	3	2	1	2	-1	7	1	3	-1	2	6	5	2	8	3	2
20001001445	1001445	57	-1	0	0	0	0	7	2	-1	3	3	3	2	-1	2	6	4	-1	6	7	8	3	3	2	2
20001001452	1001452	12	-1	0	0	0	0	7	1	-1	2	2	3	2	-1	6	6	4	-1	4	3	3	4	7	2	2
20001001469	1001469	11	-1	0	0	0	0	2	1	-1	4	2	3	1	-1	1	1	4	-1	6	2	8	9	9	1	4
20001001476	1001476	31	-1	0	1	0	0	3	1	-1	2	2	1	1	-1	1	4	4	-1	5	3	8	2	5	1	2
20001001483	1001483	34	-1	0	0	0	0	3	1	-1	1	1	3	2	-1	2	1	8	-1	4	2	8	8	8	1	2
20001001490	1001490	27	-1	0	0	0	0	5	1	-1	1	4	3	1	-1	3	1	8	-1	6	2	2	9	9	1	4
20001001506	1001506	41	-1	0	0	0	0	5	1	-1	2	1	1	2	-1	8	6	6	-1	5	5	8	5	8	0	4
20001001513	1001513	15	-1	0	1	0	0	4	1	-1	4	1	3	2	-1	1	6	4	-1	6	3	4	8	7	1	4
20001001520	1001520	42	-1	0	0	0	0	5	1	-1	2	2	1	1	-1	1	1	5	-1	3	3	3	8	7	5	4
20001001537	1001537	25	-1	0	1	0	0	3	2	-1	1	1	3	1	-1	6	1	4	-1	5	4	4	6	7	1	3
20001001544	1001544	56	-1	0	1	1	56	6	1	-1	2	2	1	1	-1	2	1	4	-1	4	6	8	3	3	5	2
20001001551	1001551	48	-1	0	0	0	0	3	2	-1	1	1	3	2	-1	8	7	6	-1	4	3	2	8	8	1	3
20001001568	1001568	15	-1	0	0	0	0	3	1	-1	2	4	3	2	-1	2	1	4	-1	2	2	4	7	7	1	4
20001001575	1001575	17	-1	0	0	0	0	3	1	-1	1	1	3	2	-1	5	6	7	-1	4	3	3	9	9	2	2
20001001582	1001582	46	-1	0	0	0	0	4	2	-1	2	2	3	2	-1	2	1	5	-1	6	6	8	2	2	5	1
20001001599	1001599	42	-1	0	0	0	0	3	1	-1	1	2	1	2	-1	1	1	4	-1	4	6	8	7	7	1	2
20001001605	1001605	42	-1	0	0	0	0	3	2	-1	2	1	1	2	-1	1	3	5	-1	3	7	2	5	3	1	2
20001001612	1001612	2	-1	0	1	0	0	3	1	-1	5	2	1	2	-1	1	7	4	-1	4	6	3	5	8	1	2
20001001629	1001629	16	-1	0	1	1	16	4	1	-1	2	2	3	1	-1	7	4	3	-1	5	4	8	7	3	1	4
20001001636	1001636	2	-1	0	1	1	2	9	1	-1	2	1	1	1	-1	8	1	5	-1	5	7	7	3	6	5	3
20001001643	1001643	11	-1	0	0	0	0	4	1	-1	2	1	3	2	-1	1	1	4	-1	4	3	4	7	9	1	3
20001001650	1001650	49	-1	0	0	0	0	3	1	-1	2	3	3	2	-1	5	6	4	-1	4	4	8	9	3	1	2
20001001667	1001667	39	-1	0	0	0	0	4	1	-1	2	2	1	2	-1	1	3	7	-1	5	3	8	4	4	5	2
20001001674	1001674	11	-1	0	0	0	0	6	1	-1	2	1	1	1	-1	6	1	5	-1	4	2	6	7	7	5	2
20001001681	1001681	49	-1	0	0	0	0	7	1	-1	2	2	3	2	-1	6	3	6	-1	6	0	8	2	7	5	1
20001001698	1001698	40	-1	0	0	0	0	8	1	-1	2	1	3	1	-1	1	1	4	-1	4	3	3	8	9	2	3
20001001704	1001704	11	-1	0	0	0	0	5	1	-1	1	3	3	1	-1	1	3	8	-1	4	2	2	9	8	1	0
20001001711	1001711	46	-1	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0
20001001728	1001728	31	-1	0	1	1	31	7	1	-1	2	2	1	2	-1	2	6	4	-1	5	8	7	1	4	5	2
20001001735	1001735	14	-1	0	0	0	0	3	1	-1	1	4	3	2	-1	1	4	6	-1	3	2	3	9	9	1	2
20001001742	1001742	47	-1	0	0	0	0	9	1	-1	5	1	1	0	-1	5	6	2	-1	2	4	4	2	2	5	4
20001001759	1001759	56	-1	0	0	0	0	5	1	-1	2	1	1	1	-1	7	6	3	-1	4	7	8	3	2	5	2
20001001766	1001766	2	-1	0	1	1	2	5	1	-1	1	2	1	1	-1	1	1	7	-1	3	5	8	7	5	4	3
20001001773	1001773	34	-1	0	0	0	0	4	1	-1	2	2	3	2	-1	6	1	5	-1	5	6	6	7	5	2	4
20001001780	1001780	42	-1	0	0	0	0	4	1	-1	1	2	1	1	-1	1	1	7	-1	5	3	8	7	7	1	4
20001001797	1001797	34	-1	0	0	0	0	4	2	-1	1	1	3	2	-1	1	1	9	-1	5	3	2	9	9	1	2
20001001803	1001803	39	-1	0	0	0	0	6	2	-1	2	2	3	1	-1	1	1	5	-1	5	6	4	4	7	4	3
20001001810	1001810	34	-1	0	0	0	0	6	1	-1	2	2	3	1	-1	2	3	4	-1	5	7	8	2	3	5	3
20001001827	1001827	42	-1	0	0	0	0	5	1	-1	1	1	1	1	-1	1	1	9	-1	4	2	8	5	3	5	3
